Model,Test Accuracy,ROC AUC,CV Accuracy Mean,CV Accuracy Std
SVM,0.7766666666666666,0.8412503370761528,0.7427083333333333,0.01579765717510738
Logistic Regression,0.7675,0.8414588377892251,0.7381249999999999,0.011906026718524632
ANN,0.7616666666666667,0.848072480407883,,
Ensemble,0.7608333333333334,0.8379921659332075,0.7391666666666666,0.015792161381872713
Random Forest,0.7525,0.8302303793878976,0.7366666666666666,0.014484786079807247
KNN,0.7316666666666667,0.8039217594124172,0.7170833333333333,0.011230693309952949
Decision Tree,0.7133333333333334,0.7523053228842043,0.6956249999999999,0.008824091076894764
